가게 이름,별점,리뷰 수,태그들
바몬드 숯불바베큐호프,0,0,
꼴통비어,0,0,
장수순대국,0,0,
하르당 마들역점,5.0,5,
이삭토스트 마들역점,2.2,17,#카카오페이
불타는신닭발,5.0,6,"#노포, #제로페이"
은사즉석떡볶이 마들점,3.8,8,#제로페이
강시루,4.2,5,#제로페이
본죽&비빔밥cafe 마들역점,0,0,
주니코기,4.3,3,"#가족모임, #점심식사, #친목모임, #혼밥, #제로페이"
동대문엽기떡볶이 마들역점,5.0,1,
고봉민김밥인 노원마들역점,1.8,15,
수유리우동집 마들역점,1.5,11,"#아침식사, #혼밥, #제로페이"
춘자네삼겹살,0,0,
그집삼겹살,4.0,8,#제로페이
달콤혜 노원점,0,0,#상견례
셰프의돈까스,3.7,3,
신서방장수왕족발보쌈,4.1,11,#제로페이
삼다도로헤엄쳐가는 풍천민물장어,0,0,
네네치킨 상계마들점,2.2,10,#제로페이
까치네떡방앗간,0,0,#제로페이
얼음왕국 상계165호점,0,0,
김밥마을,0,0,#제로페이
잠파노,5.0,3,"#노원생맥주, #노원술집, #수락산술집, #수락산역술집, #수락산호프, #제로페이"
수락샘골보리밥,1.0,2,
돈백봉해물손칼국수,0,0,
국밥쟁이,0,0,
독한도깨비족발포차,0,0,
얼큰해장국돼지불백,0,0,
일품양평해장국 수락산점,3.7,3,
응순가재골수제비,2.8,92,
드렁캔 수락산점,0,0,
갈비데이,3.8,6,"#돼지갈비무한리필, #제로페이"
춘향골남원추어탕 상계점,4.3,3,"#혼밥, #제로페이"
김영희강남동태찜 수락점,0,0,#제로페이
곱창특별시,5.0,2,#제로페이
달기정떡,5.0,3,"#기정떡, #노원떡집, #달기정떡, #서울달떡, #잔기지떡"
수락산할매집 노원점,5.0,3,"#노포, #제로페이"
맷돌로만 수락산점,4.2,13,"#건강식, #아침식사"
돼지빠,5.0,2,#점심식사
친구네숯불닭갈비,0,0,
수락산시래기 화덕생선구이,0,0,#아침식사
절구시래기 직영1호점,3.0,43,#점심식사
창동숯불화로구이,0,0,
니니스튜디오37,5.0,4,"#노원떡케이크, #노원수제케이크, #수제케이크, #칠순케이크, #환갑떡케이크, #떡케이크주문제작, #수제디저트, #앙금플라워케이크, #원데이클래스, #이동약자접근, #케이크주문제작"
사랑애케이크,0,0,
파리바게뜨 상계제일점,4.3,4,"#카카오페이, #제로페이"
주공분식,0,0,#제로페이
달콤한오후,0,0,
시골막걸리,4.0,4,#노포
서서갈비함흥냉면,3.3,8,#제로페이
피자스쿨 마들역점,4.9,10,"#카카오페이, #제로페이"
해신참치,3.3,6,"#노포, #단체석, #참치무한리필, #제로페이"
창동양곱창,5.0,6,"#대창맛집, #소곱창, #소곱창맛집, #창동역맛집, #창동역소곱창, #제로페이"
가장맛있는족발 창동역점,4.3,3,#제로페이
팔삼닭발,0,0,
