,place_name,category_name,category_group_name,road_address_name,x,y,place_url,distance,별점,리뷰 수,태그들,지정등급,category
96,마켓모아모아 도깨비시장점,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도당로15길 21,127.0361888,37.6663915,http://place.map.kakao.com/1088063481,107,0.0,0,"#카카오페이, #제로페이",,간식
97,구뜨케이크,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로118길 34,127.03702,37.64880497,http://place.map.kakao.com/1097579178,459,0.0,0,"#데이트코스, #레터링케이크, #수제케이크, #케이크주문제작, #제로페이",,간식
98,두드린,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로112길 22,127.0358575,37.64679974,http://place.map.kakao.com/1275741808,173,0.0,0,"#비건베이커리, #카카오페이, #제로페이",,간식
99,악어빵집,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 노해로70길 46,127.0516646,37.65023564,http://place.map.kakao.com/1358896485,336,4.8,5,"#카카오페이, #제로페이",,간식
100,원더베이글하우스,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로110길 55,127.0366494,37.64634991,http://place.map.kakao.com/1453123725,315,4.6,5,"#카카오페이, #제로페이",,간식
101,바게트1089,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로150길 8,127.0436759,37.66584117,http://place.map.kakao.com/1513973273,203,4.5,20,"#카카오페이, #제로페이",,간식
102,글림 쌍문점,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로118길 6-8,127.0353225,37.64877666,http://place.map.kakao.com/1545958136,224,3.6,28,"#베이커리카페, #북카페, #핸드드립전문점, #카카오페이, #제로페이",,간식
103,카페라움,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 덕릉로61길 9,127.0395882,37.64118722,http://place.map.kakao.com/1605961398,785,0.0,0,"#수제쿠키, #쿠키선물, #쿠키택배, #버터바, #카카오페이, #제로페이",,간식
104,우리밀과자점 해밀,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 해등로 312-3,127.021351,37.65754478,http://place.map.kakao.com/1694831564,440,5.0,1,"#수제케이크, #제로페이",,간식
105,르봉뺑,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도당로13길 45,127.0342439,37.66639659,http://place.map.kakao.com/1820252892,175,0.0,0,#제로페이,,간식
106,우리와베이커리,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로110길 58,127.0368033,37.64606245,http://place.map.kakao.com/1898829729,334,5.0,4,"#소금빵, #쌍문베이커리, #치아바타, #카카오페이, #제로페이",,간식
107,리드브레드 창동점,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 노해로63다길 53,127.0456924,37.65514125,http://place.map.kakao.com/2015557810,106,3.9,10,#제로페이,,간식
108,맛있는빵집,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도당로13가길 15,127.0359993,37.66595638,http://place.map.kakao.com/2066591892,62,5.0,2,#제로페이,,간식
109,구르미케이크,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로110바길 5,127.0373248,37.64655783,http://place.map.kakao.com/2095421853,506,5.0,1,#제로페이,,간식
110,뚜레쥬르 창동동아점,"음식점 > 간식 > 제과,베이커리 > 뚜레쥬르",음식점,서울 도봉구 노해로69길 97,127.0494933,37.65685519,http://place.map.kakao.com/8270227,179,4.3,3,"#카카오페이, #제로페이",매우우수,간식
111,뚜레쥬르 창동대우점,"음식점 > 간식 > 제과,베이커리 > 뚜레쥬르",음식점,서울 도봉구 덕릉로63가길 60,127.0374635,37.64300791,http://place.map.kakao.com/15669200,475,5.0,2,"#카카오페이, #제로페이",,간식
112,뚜레쥬르 한일병원점,"음식점 > 간식 > 제과,베이커리 > 뚜레쥬르",음식점,서울 도봉구 우이천로 308,127.0290166,37.64611688,http://place.map.kakao.com/461268799,144,5.0,2,"#카카오페이, #제로페이",,간식
113,뚜레쥬르 도봉쌍문점,"음식점 > 간식 > 제과,베이커리 > 뚜레쥬르",음식점,서울 도봉구 도당로 2,127.0352398,37.65848568,http://place.map.kakao.com/655406145,233,2.3,3,"#카카오페이, #제로페이",매우우수,간식
114,뚜레쥬르 창동역점,"음식점 > 간식 > 제과,베이커리 > 뚜레쥬르",음식점,서울 도봉구 노해로63길 84-10,127.0467594,37.65241356,http://place.map.kakao.com/1786678199,158,3.5,10,"#카카오페이, #제로페이",매우우수,간식
115,뚜레쥬르 도봉구청점,"음식점 > 간식 > 제과,베이커리 > 뚜레쥬르",음식점,서울 도봉구 마들로 657,127.0459195,37.66869012,http://place.map.kakao.com/1819973774,385,3.8,4,"#카카오페이, #제로페이",매우우수,간식
116,와플대학 쌍문캠퍼스,"음식점 > 간식 > 제과,베이커리 > 와플대학",음식점,서울 도봉구 해등로 176,127.0370346,37.65766163,http://place.map.kakao.com/377920891,159,5.0,6,"#카카오페이, #제로페이",,간식
117,와플대학 신창캠퍼스,"음식점 > 간식 > 제과,베이커리 > 와플대학",음식점,서울 도봉구 덕릉로 254,127.0397236,37.64009699,http://place.map.kakao.com/962281606,802,5.0,1,"#카카오페이, #제로페이",,간식
118,와플대학 방학역캠퍼스,"음식점 > 간식 > 제과,베이커리 > 와플대학",음식점,서울 도봉구 도봉로149길 12,127.0421686,37.66622734,http://place.map.kakao.com/1171325851,67,2.6,13,#제로페이,,간식
119,코코호도 쌍문점,"음식점 > 간식 > 제과,베이커리 > 코코호도",음식점,서울 도봉구 해등로 180,127.0368046,37.65781847,http://place.map.kakao.com/8104435,171,4.8,5,#제로페이,,간식
120,코코호도 도봉구청점,"음식점 > 간식 > 제과,베이커리 > 코코호도",음식점,서울 도봉구 마들로 650,127.0470605,37.66803556,http://place.map.kakao.com/1298212338,417,5.0,1,"#단체주문, #답례품, #제로페이",,간식
121,파리바게뜨 창동현대점,"음식점 > 간식 > 제과,베이커리 > 파리바게뜨",음식점,서울 도봉구 도봉로136길 7,127.0414768,37.65930354,http://place.map.kakao.com/8115617,172,4.2,6,"#카카오페이, #제로페이",매우우수,간식
122,파리바게뜨 방학선덕점,"음식점 > 간식 > 제과,베이커리 > 파리바게뜨",음식점,서울 도봉구 시루봉로 67,127.0276575,37.65682539,http://place.map.kakao.com/8117223,403,3.9,11,"#카카오페이, #제로페이",,간식
123,파리바게뜨 방학점,"음식점 > 간식 > 제과,베이커리 > 파리바게뜨",음식점,서울 도봉구 방학로 174,127.0329229,37.66250833,http://place.map.kakao.com/8117350,290,5.0,2,"#카카오페이, #제로페이",,간식
